epoch,train_loss,val_loss,train_acc,val_acc
1,2.1123494948901183,1.6768405965515516,32.308920375174615,40.04662004662005
2,1.6399295967521397,1.4930247179978982,42.30027273332003,45.83527583527584
3,1.457828291553132,1.43514768371102,47.09638794651766,47.707847707847705
4,1.3071519840693644,1.2602484721052587,51.96124082573893,53.022533022533025
5,1.1802401496586226,1.2063654730542477,56.46688396638506,54.39005439005439
6,1.0669820001362063,1.0961496714772958,60.322845295904564,58.95881895881896
7,0.9634870401510955,1.0495827998113807,64.09676489500876,60.51282051282051
8,0.8679675088283864,0.9901911727258276,67.5026053792767,62.76612276612276
9,0.7868798202656685,0.9534735884673422,70.62019113505843,64.91841491841492
10,0.7028862400891933,0.8825314960941654,73.65351781635957,66.72882672882673
11,0.6342215106948048,0.8192924142124192,76.41189383356615,70.13209013209013
12,0.5704594770221846,0.8642509526454106,78.85097230537262,69.17637917637917
13,0.5187578347135098,0.8389468356863989,80.81997383534004,70.22533022533023
14,0.4690331018245812,0.7842105391574561,82.78897536530744,72.19114219114219
15,0.42071829363175317,0.7463794318134677,84.50963435996364,73.65190365190365
16,0.383912449462194,0.7422495830570701,86.13273021574757,74.16472416472416
17,0.3403278593423096,0.8208957037158489,87.7890862325107,73.03030303030303
18,0.3197915011105385,0.7634477262187601,88.6183729129249,75.19036519036518
19,0.29383375650496346,0.7363552411327199,89.24144659526819,75.67987567987568
20,0.2634926683513831,0.7816012772444254,90.41663894986586,74.92618492618493
21,0.2496536903426791,0.7626487760758808,91.07740748131887,76.23154623154623
22,0.22646760609767116,0.8087129404008038,92.01977870906228,75.87412587412588
23,0.21283789801919925,0.7541194622723065,92.43663939333466,76.99300699300699
24,0.200423813452746,0.7255231991613765,92.87567351825983,77.33488733488734
25,0.18688739450014336,0.7609952325666035,93.45440031929755,77.47474747474747
26,0.171565893235623,0.7464763060646599,93.95108538991995,78.08857808857809
27,0.16273237534052304,0.796570740178113,94.36794607419233,77.28049728049729
28,0.15641811021557409,0.7066941797319832,94.516508126566,79.1919191919192
29,0.1496604061388272,0.8151820784476977,94.84910973635779,77.53690753690753
30,0.14037533506341543,0.7245822939780906,95.05975742255926,79.02097902097903
